term,tier,frequency_corpus_train
number one,Tier 1,428
world-class,Tier 1,289
valuable asset,Tier 1,208
strive to create,Tier 1,188
highest quality,Tier 1,176
most suitable,Tier 1,156
unprecedented,Tier 1,141
global leader,Tier 1,140
most advanced,Tier 1,109
most comprehensive,Tier 1,92
industry leader,Tier 1,84
groundbreaking,Tier 1,80
leading company,Tier 1,75
non-gmo,Tier 1,64
additive-free,Tier 1,49
leading enterprise,Tier 1,49
miracle,Tier 1,45
world leader,Tier 1,45
well-equipped,Tier 1,44
leading provider,Tier 1,42
pollution-free,Tier 1,42
record-breaking,Tier 1,40
soar,Tier 1,39
sacred,Tier 1,38
one and only,Tier 1,30
most innovative,Tier 1,27
most sustainable,Tier 1,25
best in class,Tier 1,25
exaggerated,Tier 1,25
market leader,Tier 1,25
unparalleled,Tier 1,24
constant attention,Tier 1,24
globally renowned,Tier 1,22
first of its kind,Tier 1,21
foolproof,Tier 1,20
uncompromising,Tier 1,19
gold standard,Tier 1,19
zero harm,Tier 1,16
legendary,Tier 1,16
explosive growth,Tier 1,15
impeccable,Tier 1,13
world-famous,Tier 1,13
exaggeration,Tier 1,13
beyond expectations,Tier 1,11
unrivaled,Tier 1,11
flawless,Tier 1,10
exponential growth,Tier 1,8
unmatched,Tier 1,8
sustainability leader,Tier 1,8
most responsible,Tier 1,7
leading the world,Tier 1,6
fail-safe,Tier 1,6
error-free,Tier 1,6
spotless,Tier 1,5
world no.1,Tier 1,5
top performer,Tier 1,5
omnipotent,Tier 1,5
all-time high,Tier 1,5
far exceeded,Tier 1,4
unequivocally,Tier 1,4
immortal,Tier 1,4
second to none,Tier 1,4
world record,Tier 1,4
one hundred percent,Tier 1,3
exaggerate,Tier 1,3
zero additives,Tier 1,3
top-ranked,Tier 1,3
zero impact,Tier 1,3
peerless,Tier 1,3
invincible,Tier 1,3
fully circular,Tier 1,3
heavenly,Tier 1,3
leading corporation,Tier 1,2
highest ever,Tier 1,2
epoch-making,Tier 1,2
dominate the market,Tier 1,2
unquestionable,Tier 1,1
best performer,Tier 1,1
overwhelming advantage,Tier 1,1
godlike,Tier 1,1
supernatural,Tier 1,1
sweeping the globe,Tier 1,1
skyrocket,Tier 1,1
best ever,Tier 1,1
climate champion,Tier 1,1
unquestionably,Tier 1,1
absolute advantage,Tier 1,1
unsurpassed,Tier 1,1
mythical,Tier 1,1
world-changing,Tier 1,1
completely circular,Tier 1,1
dedicated to,Tier 2,2459
positive impact,Tier 2,1765
sustainability vision,Tier 2,1445
superior,Tier 2,1235
exceptional,Tier 2,1166
exclusive,Tier 2,1070
premium,Tier 2,1055
extremely,Tier 2,1026
ultimate,Tier 2,878
green innovation,Tier 2,851
greatly,Tier 2,631
super,Tier 2,559
perfect,Tier 2,512
best practices,Tier 2,376
vigorous,Tier 2,321
landmark,Tier 2,287
firmly believe,Tier 2,278
huge,Tier 2,265
remarkable,Tier 2,240
thriving,Tier 2,239
zero tolerance,Tier 2,222
highest standards,Tier 2,213
extraordinary,Tier 2,211
top-level,Tier 2,204
industry-leading,Tier 2,198
pioneering,Tier 2,189
attach great importance,Tier 2,186
surge,Tier 2,184
unconventional,Tier 2,183
record high,Tier 2,174
transformative,Tier 2,163
endless,Tier 2,156
clean technology,Tier 2,134
remain committed,Tier 2,128
infinite,Tier 2,107
we commit,Tier 2,105
exquisite,Tier 2,104
historic,Tier 2,104
fully committed,Tier 2,104
exciting,Tier 2,98
giant,Tier 2,96
we aspire,Tier 2,92
supreme,Tier 2,82
firmly committed,Tier 2,79
we endeavor,Tier 2,77
tremendous,Tier 2,77
top-tier,Tier 2,76
working towards,Tier 2,76
zero deforestation,Tier 2,73
world-leading,Tier 2,70
explosive,Tier 2,68
proud of,Tier 2,66
at the forefront,Tier 2,65
deeply committed,Tier 2,63
incredible,Tier 2,59
profound impact,Tier 2,57
significant progress,Tier 2,54
countless,Tier 2,51
we pledge,Tier 2,49
top-notch,Tier 2,47
wholeheartedly,Tier 2,47
striving for excellence,Tier 2,44
state-of-the-art,Tier 2,42
take the lead,Tier 2,42
actively pursuing,Tier 2,42
boundless,Tier 2,41
pursuing excellence,Tier 2,40
unforgettable,Tier 2,39
passionate about,Tier 2,39
comprehensive approach,Tier 2,39
glorious,Tier 2,38
ubiquitous,Tier 2,38
best-in-class,Tier 2,37
enormous,Tier 2,37
forward-thinking,Tier 2,34
important responsibility,Tier 2,33
eye-catching,Tier 2,30
golden age,Tier 2,27
sustainability journey,Tier 2,25
stirring,Tier 2,25
disruptive,Tier 2,23
exclusive to,Tier 2,22
spike,Tier 2,22
making progress,Tier 2,21
overwhelming,Tier 2,21
to the fullest,Tier 2,21
undoubtedly,Tier 2,20
to the extreme,Tier 2,20
significant contribution,Tier 2,20
integrated approach,Tier 2,20
everlasting,Tier 2,19
strongly believe,Tier 2,18
superb,Tier 2,18
splendid,Tier 2,18
sweep,Tier 2,17
magnificent,Tier 2,16
mysterious,Tier 2,16
spectacular,Tier 2,16
innovative approach,Tier 2,16
unstoppable,Tier 2,15
sustainability excellence,Tier 2,15
luxurious,Tier 2,13
captivating,Tier 2,13
relentless pursuit,Tier 2,13
ingenious,Tier 2,12
lasting impact,Tier 2,12
top ranking,Tier 2,11
meaningful contribution,Tier 2,10
deeply believe,Tier 2,10
steadfastly committed,Tier 2,10
dazzling,Tier 2,10
great achievements,Tier 2,10
fastest growing,Tier 2,10
making strides,Tier 2,9
first-rate,Tier 2,9
setting the standard,Tier 2,9
real impact,Tier 2,9
lead the market,Tier 2,9
epic,Tier 2,8
important mission,Tier 2,8
unique charm,Tier 2,8
robust framework,Tier 2,8
lead the trend,Tier 2,7
climate-friendly,Tier 2,7
worldwide attention,Tier 2,7
fearless,Tier 2,7
nature-friendly,Tier 2,7
full of vitality,Tier 2,6
leading sustainability,Tier 2,6
making a difference,Tier 2,6
commit to continuous,Tier 2,6
known to all,Tier 2,6
myriad,Tier 2,6
undisputed,Tier 2,5
green solution,Tier 2,5
ultimate experience,Tier 2,5
proud to announce,Tier 2,5
ahead of the curve,Tier 2,5
to the utmost,Tier 2,5
far more than,Tier 2,5
extremely difficult,Tier 2,5
unwavering dedication,Tier 2,5
transcendent,Tier 2,5
substantial improvement,Tier 2,5
tremendous impact,Tier 2,5
thrilling,Tier 2,4
irresistible,Tier 2,4
immeasurable,Tier 2,4
beyond normal,Tier 2,4
sustainable solution,Tier 2,4
driving change,Tier 2,3
real difference,Tier 2,3
premium grade,Tier 2,3
first-mover advantage,Tier 2,3
transformational impact,Tier 2,3
golden era,Tier 2,3
recognized leader,Tier 2,2
masterful,Tier 2,2
unimaginable,Tier 2,2
undisputed leader,Tier 2,2
playing a leading role,Tier 2,2
nurturing the future,Tier 2,2
sensational,Tier 2,2
tirelessly working,Tier 2,2
gaining momentum,Tier 2,2
red-hot,Tier 2,2
trailblazing,Tier 2,2
game-changing,Tier 2,1
making more contributions,Tier 2,1
indescribable,Tier 2,1
truly exceptional,Tier 2,1
incomparable,Tier 2,1
exceedingly,Tier 2,1
going above and beyond,Tier 2,1
rock-solid,Tier 2,1
raising the bar,Tier 2,1
highly creative,Tier 2,1
holistic strategy,Tier 2,1
worldwide,Scope Amplifier,1971
internationally,Scope Amplifier,1479
globally,Scope Amplifier,1037
in asia,Scope Amplifier,626
in the world,Scope Amplifier,572
in the region,Scope Amplifier,160
across the globe,Scope Amplifier,85
across the industry,Scope Amplifier,50
in history,Scope Amplifier,39
industry-wide,Scope Amplifier,30
universally,Scope Amplifier,24
across all sectors,Scope Amplifier,22
